State,Campaign name,Status,Type,Targeting,Portfolio name,Campaign bid strategy,Campaign budget amount (converted),Campaign budget amount,Impressions,Top-of-search impression share,Clicks,CTR,Total cost (converted),Total cost,CPC (converted),CPC,Purchases,Sales (converted),Sales,ACOS,ROAS,Purchases (new to brand)
ENABLED,Body Cream - B0CYLDSQ5L - SP - ASIN - TOP Competitors,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Fixed bids,$12.00,$12.00,49981,<5%,164,0.0033,$200.52,$200.52,$1.22,$1.22,2,$26.98,$26.98,7.4322,0.13455016955914623,0
ENABLED,Body Cream - B0CYLDSQ5L - SP - EXACT - NON GREASY,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Fixed bids,$12.00,$12.00,12564,<5%,23,0.0018,$41.40,$41.40,$1.80,$1.80,1,$13.49,$13.49,3.0689,0.32584541062801936,0
ENABLED,Body Cream - B0CYLDSQ5L - SP - PHRASE - WOMEN USE CASE,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Dynamic bidding (up and down),$10.00,$10.00,14526,<5%,77,0.0053,$151.02,$151.02,$1.96,$1.96,2,$26.98,$26.98,5.5975,0.17865183419414643,0
ENABLED,Body Cream - B0CYLDSQ5L - SP - EXACT - WOMEN USE CASE,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Fixed bids,$12.00,$12.00,37412,<5%,33,0.0009,$70.70,$70.70,$2.14,$2.14,2,$26.98,$26.98,2.6205,0.3816124469589816,0
ENABLED,Body Cream - B0CYLDSQ5L - SP - PHRASE - THICK INTENSIVE,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Fixed bids,$10.00,$10.00,518,<5%,4,0.0077,$7.31,$7.31,$1.83,$1.83,0,$0.00,$0.00,0,0,0
ENABLED,Body Cream - B0CYLDSQ5L - SP - EXACT - THICK INTENSIVE,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Fixed bids,$12.00,$12.00,273,<5%,1,0.0037,$2.07,$2.07,$2.07,$2.07,0,$0.00,$0.00,0,0,0
ENABLED,Body Cream - B0CYLDSQ5L - SP - PHRASE - HYDRATING CARE,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Fixed bids,$10.00,$10.00,3011,<5%,20,0.0066,$30.07,$30.07,$1.50,$1.50,1,$13.49,$13.49,2.2291,0.44861988693049554,0
ENABLED,Body Cream - B0CYLDSQ5L - SP - EXACT - HYDRATING CARE,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Fixed bids,$12.00,$12.00,2877,<5%,10,0.0035,$23.69,$23.69,$2.37,$2.37,0,$0.00,$0.00,0,0,0
ENABLED,Body Cream - B0CYLDSQ5L - SP - PHRASE - WINTER SEASONAL,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Fixed bids,$10.00,$10.00,376,0,0,0,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,0,0,0
ENABLED,Body Cream - B0CYLDSQ5L - SP - EXACT - WINTER SEASONAL,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Fixed bids,$12.00,$12.00,168,12.19%,0,0,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,0,0,0
ENABLED,Body Cream - B0CYLDSQ5L - SP - PHRASE - DRY SKIN KWS,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion,Fixed bids,$10.00,$10.00,19138,<5%,40,0.0021,$74.41,$74.41,$1.86,$1.86,1,$13.49,$13.49,5.5159,0.1812928369842763,0
ENABLED,Body Cream - B0CYLDSQ5L - SP - EXACT - DRY SKIN KWS,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion,Fixed bids,$12.00,$12.00,79986,<5%,91,0.0011,$226.49,$226.49,$2.49,$2.49,3,$40.47,$40.47,5.5965,0.17868338557993724,0
ENABLED,Body Cream - B0CYLDSQ5L - SP - PHRASE - CORE HERO,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Fixed bids,$10.00,$10.00,16499,<5%,101,0.0061,$125.58,$125.58,$1.24,$1.24,3,$40.47,$40.47,3.1030,0.3222646918299092,0
ENABLED,Body Cream - B0CYLDSQ5L - SP - EXACT - CORE HERO,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Fixed bids,$12.00,$12.00,60110,<5%,95,0.0016,$192.77,$192.77,$2.03,$2.03,1,$13.49,$13.49,14.2898,0.06997976863619858,0
ENABLED,Facial Cleanser - B0CYK4G2Y8 - SP - Category - Facial Cleansing Gels,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Facial Cleanser,Fixed bids,$12.00,$12.00,7627,<5%,8,0.0010,$6.53,$6.53,$0.82,$0.82,1,$9.89,$9.89,0.6603,1.5145482388973968,0
ENABLED,Facial Cleanser - B0CYK4G2Y8 - SP - ASIN - TOP Competitors,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Facial Cleanser,Fixed bids,$12.00,$12.00,149842,<5%,95,0.0006,$158.29,$158.29,$1.67,$1.67,4,$39.56,$39.56,4.0013,0.24992103101901597,0
ENABLED,Facial Cleanser - B0CYK4G2Y8 - SP KW - Exact - Dermatological Cleanser,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Facial Cleanser,Fixed bids,$12.00,$12.00,167,<5%,0,0,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,0,0,0
ENABLED,Facial Cleanser - B0CYK4G2Y8 - SP KW - Phrase - Oily Skin Benefits,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Facial Cleanser,Fixed bids,$12.00,$12.00,395,<5%,4,0.0101,$10.33,$10.33,$2.58,$2.58,0,$0.00,$0.00,0,0,0
ENABLED,Facial Cleanser - B0CYK4G2Y8 - SP KW - Exact - Oily Skin Core,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Facial Cleanser,Fixed bids,$12.00,$12.00,14779,<5%,33,0.0022,$80.40,$80.40,$2.44,$2.44,1,$9.89,$9.89,8.1294,0.12300995024875622,0
ENABLED,Body Lotion 2Pack - B0F548KTXD - SP - PT - Category - Body Lotion,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion 2Pack,Fixed bids,$12.00,$12.00,257482,<5%,93,0.0004,$80.39,$80.39,$0.86,$0.86,2,$96.33,$96.33,0.8345,1.1982833685781817,0
ENABLED,Body Lotion 2Pack - B0F548KTXD -SP KW - Exact - Body Lotion Core,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion 2Pack,Fixed bids,$12.00,$12.00,461,0,0,0,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,0,0,0
ENABLED,Body Lotion 2Pack - B0F548KTXD - SP - PT - ASIN - Retinol Competitors,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion 2Pack,Fixed bids,$12.00,$12.00,77587,<5%,72,0.0009,$107.30,$107.30,$1.49,$1.49,0,$0.00,$0.00,0,0,0
ENABLED,Body Lotion 2Pack - B0F548KTXD - SP KW - Phrase - Retinol Benefits,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion 2Pack,Fixed bids,$12.00,$12.00,9,0,0,0,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,0,0,0
ENABLED,Body Lotion 2Pack - B0F548KTXD - SP KW - Exact - Retinol Core,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion 2Pack,Fixed bids,$12.00,$12.00,1276,0,1,0.0008,$2.45,$2.45,$2.45,$2.45,0,$0.00,$0.00,0,0,0
ENABLED,Body Lotion 2Pack - B0F548KTXD - SD - VCPM - Prospecting - Retinol,CAMPAIGN_STATUS_ENABLED,SD,MANUAL,Body Lotion 2Pack,Dynamic bidding (up and down),$12.00,$12.00,46876,0,142,0.0030,$123.08,$123.08,$0.87,$0.87,0,$0.00,$0.00,0,0,0
ENABLED,Facial Cleanser - B0CYK4G2Y8 - SD - VCPM - Views Remarketing 30D,CAMPAIGN_STATUS_ENABLED,SD,MANUAL,Facial Cleanser,Dynamic bidding (up and down),$10.00,$10.00,45443,0,119,0.0026,$92.44,$92.44,$0.78,$0.78,1,$9.89,$9.89,9.3468,0.10698831674599742,1
ENABLED,Body Lotion 2Pack - B0F548KTXD - SP KW - Exact - Dermaglos,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion 2Pack,Fixed bids,$12.00,$12.00,21,0,0,0,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,0,0,0
ENABLED,DG | DISCOVERY | SP | AUTO | B0F548KTXD,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Body Lotion 2Pack,Fixed bids,$10.00,$10.00,34450,<5%,48,0.0014,$44.17,$44.17,$0.92,$0.92,3,$96.33,$96.33,0.4585,2.180892008150328,0
ENABLED,Body Lotion - B0CYLM4L23 - SP - KW - Phrase - Retinol Benefits,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion,Fixed bids,$12.00,$12.00,1254,<5%,0,0,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,0,0,0
ENABLED,Body Lotion - B0CYLM4L23 - SP - KW - Exact - Retinol Core,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion,Fixed bids,$12.00,$12.00,7456,<5%,5,0.0007,$9.35,$9.35,$1.87,$1.87,0,$0.00,$0.00,0,0,0
ENABLED,Body Lotion - B0CYLM4L23 - SP - PT - ASIN - TOP COMP,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Lotion,Fixed bids,$12.00,$12.00,168643,<5%,147,0.0009,$234.37,$234.37,$1.59,$1.59,0,$0.00,$0.00,0,0,0
ENABLED,Dermatological Cream - B0CYLMJJJC - SP - PT - ASIN - TOP COMP,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dermatological Cream,Fixed bids,$12.00,$12.00,62532,<5%,221,0.0035,$294.74,$294.74,$1.33,$1.33,10,$108.80,$108.80,2.7090,0.36913890208319194,0
ENABLED,Dermatological 2Pack - B0F4KXZVNM - SP - PT - ASIN - TOP COMP,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dermatological 2Pack,Fixed bids,$12.00,$12.00,41641,<5%,89,0.0021,$123.69,$123.69,$1.39,$1.39,3,$50.97,$50.97,2.4267,0.4120785835556634,0
ENABLED,Dermatological 2Pack - B0F4KXZVNM - SP Exact - Brand,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dermatological 2Pack,Fixed bids,$12.00,$12.00,2451,<5%,13,0.0053,$13.80,$13.80,$1.06,$1.06,4,$84.95,$84.95,0.1624,6.155797101449275,0
ENABLED,Dermatological 2Pack - B0F4KXZVNM - SP KW - vitamin a cream Harvested,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dermatological 2Pack,Fixed bids,$12.00,$12.00,1758,8.09%,16,0.0091,$32.70,$32.70,$2.04,$2.04,0,$0.00,$0.00,0,0,0
ENABLED,Body Cream - B0CYLDSQ5L - SP -EXACT - KWS VALIDATION,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Dynamic bidding (down only),$10.00,$10.00,0,0,0,0,$0.00,$0.00,$0.00,$0.00,0,$0.00,$0.00,0,0,0
ENABLED,DG | DISCOVERY | SP | AUTO | B0CYK4G2Y8,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Facial Cleanser,Dynamic bidding (down only),$10.00,$10.00,19999,<5%,32,0.0016,$17.04,$17.04,$0.53,$0.53,2,$19.78,$19.78,0.8615,1.1607981220657275,0
ENABLED,Body Cream - B0CYLDSQ5L - SP PR - Categoties,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Body Cream,Dynamic bidding (down only),$10.00,$10.00,6383,<5%,53,0.0083,$36.23,$36.23,$0.68,$0.68,1,$13.49,$13.49,2.6857,0.3723433618548165,0
ENABLED,DG | DISCOVERY | SP | BROAD | B0F6VZMF2V,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Facial Skincare Set,Dynamic bidding (down only),$10.00,$10.00,6909,<5%,4,0.0006,$2.94,$2.94,$0.73,$0.73,1,$32.90,$32.90,0.0894,11.19047619047619,0
ENABLED,Facial Skincare Set - B0F6VZMF2V - SP -  PRODUCTS-CATEGORIES,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Facial Skincare Set,Dynamic bidding (down only),$10.00,$10.00,8875,<5%,13,0.0015,$10.13,$10.13,$0.78,$0.78,0,$0.00,$0.00,0,0,0
ENABLED,Facial Skincare Set - B0F6VZMF2V - SP - KW - Phrase kws,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Facial Skincare Set,Dynamic bidding (down only),$10.00,$10.00,2873,0,2,0.0007,$1.44,$1.44,$0.72,$0.72,0,$0.00,$0.00,0,0,0
ENABLED,DG | DISCOVERY | SP | AUTO | B0F6VZMF2V,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Facial Skincare Set,Dynamic bidding (down only),$10.00,$10.00,9160,<5%,11,0.0012,$5.69,$5.69,$0.52,$0.52,0,$0.00,$0.00,0,0,0
ENABLED,Dermatological 2Pack - B0F4KXZVNM - SP KW - BROAD KWS,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dermatological 2Pack,Dynamic bidding (down only),$10.00,$10.00,42851,<5%,79,0.0018,$163.24,$163.24,$2.07,$2.07,3,$43.97,$43.97,3.7125,0.2693580004900759,0
ENABLED,Dermatological 2Pack - B0F4KXZVNM - SP KW - Phrase,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dermatological 2Pack,Dynamic bidding (down only),$10.00,$10.00,10137,7.71%,164,0.0162,$287.03,$287.03,$1.75,$1.75,29,$441.60,$441.60,0.6500,1.538515137790475,0
ENABLED,DG | DISCOVERY | SP | AUTO | B0F4KXZVNM,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Dermatological 2Pack,Dynamic bidding (down only),$10.00,$10.00,26182,<5%,101,0.0039,$92.02,$92.02,$0.91,$0.91,4,$60.96,$60.96,1.5095,0.6624646815909586,0
ENABLED,Scavenger - ALL- SP - PRODUCTS,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Scavenger,Dynamic bidding (down only),$10.00,$10.00,2578,<5%,1,0.0004,$0.08,$0.08,$0.08,$0.08,0,$0.00,$0.00,0,0,0
ENABLED,Scavenger - ALL- SP - CATEGORIES,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Scavenger,Dynamic bidding (down only),$10.00,$10.00,4470,<5%,7,0.0016,$0.51,$0.51,$0.07,$0.07,0,$0.00,$0.00,0,0,0
ENABLED,Scavenger - ALL- SP - EXACT,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Scavenger,Dynamic bidding (down only),$10.00,$10.00,1631,0,2,0.0012,$0.04,$0.04,$0.02,$0.02,1,$9.99,$9.99,0.0040,249.75,0
