Brand=["DERMAGLÓS"],Reporting Range=["Weekly"],Select week=["Week 10 | 2026-03-01 - 2026-03-07 2026"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"dermaglos","1","158","3349","1836","54.82233502538071","50","31.645569620253166","48","96.0","13.489999771118164","13.489999771118164","4","21","5","18","11.39240506329114","16","88.88888888888889","9.989999771118164","9.989999771118164","0","10","2","5","3.1645569620253164","5","100.0","9.99","9.99","0","3","1","2026-03-07"
"vitamin a cream","2","472","14413","1210","8.395198778880177","159","33.686440677966104","24","15.09433962264151","18.969999313354492","9.989999771118164","14","64","38","66","13.983050847457626","16","24.242424242424242","16.989999771118164","9.989999771118164","3","24","16","10","2.11864406779661","4","40.0","11.97","9.99","1","3","5","2026-03-07"
"dermaglos crema","3","58","1155","687","59.48051948051948","29","50.0","29","100.0","16.989999771118164","16.989999771118164","5","9","4","9","15.517241379310345","9","100.0","9.989999771118164","9.989999771118164","2","4","2","2","3.4482758620689653","2","100.0","9.99","9.99","2","0","0","2026-03-07"
"dermaglos emulsion","4","14","260","133","51.15384615384615","10","71.42857142857143","10","100.0","18.889999389648438","18.889999389648438","0","4","5","7","50.0","7","100.0","18.889999389648438","18.889999389648438","0","2","4","3","21.428571428571427","3","100.0","18.89","18.89","0","1","1","2026-03-07"
"allantoin cream","5","163","4427","317","7.160605376101198","65","39.87730061349693","5","7.6923076923076925","9.989999771118164","9.989999771118164","11","23","18","23","14.11042944785276","4","17.391304347826086","9.779999732971191","9.989999771118164","4","10","5","7","4.294478527607362","2","28.571428571428573","7.59","9.99","0","3","2","2026-03-07"
"allantoin","6","543","15622","922","5.9019331711688645","259","47.697974217311234","10","3.861003861003861","12.989999771118164","9.989999771118164","28","110","71","129","23.756906077348066","2","1.550387596899225","12.989999771118164","9.989999771118164","14","59","36","29","5.3406998158379375","0","0.0","12.99",,"3","15","8","2026-03-07"
"dermaglos facial","7","23","489","230","47.034764826175866","8","34.78260869565217","8","100.0","13.489999771118164","13.489999771118164","0","3","1","4","17.391304347826086","4","100.0","9.989999771118164","9.989999771118164","0","3","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"vitamin a cream for face","8","176","4286","350","8.166122258516099","85","48.29545454545455","5","5.882352941176471","18.969999313354492","16.989999771118164","13","40","16","33","18.75","1","3.0303030303030303","18.969999313354492","16.989999771118164","4","16","5","9","5.113636363636364","1","11.11111111111111","18.97","16.99","1","5","1","2026-03-07"
"dermagloss","9","11","129","118","91.47286821705427","2","18.181818181818183","2","100.0","9.989999771118164","9.989999771118164","0","2","0","2","18.181818181818183","2","100.0","9.989999771118164","9.989999771118164","0","2","0","1","9.090909090909092","1","100.0","16.99","16.99","0","1","0","2026-03-07"
"lotion with vitamin a","10","11","365","32","8.767123287671232","5","45.45454545454545","3","60.0","12.979999542236328","18.889999389648438","0","2","2","3","27.27272727272727","2","66.66666666666667","12.979999542236328","9.989999771118164","0","1","1","1","9.090909090909092","1","100.0","9.99","9.99","0","0","0","2026-03-07"
