(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FDX9XR56,B0CYLMJJJC,"Dermaglos Moisturizing Cream | Vitamin A (Retinoids), Vitamin E & Allantoin | Rich Moisturizer for Wrinkles, Stretch Mark Prevention, Tattoo Aftercare, Scar cream, Hydration for Smooth Skin | 1,76 oz","1,162",8,30.90%,24.24%,"1,505",9,30.32%,20.93%,98.93%,80.00%,141,2,12.13%,25.00%,"$1,408.59",$19.98,136,2
B0FG84HMRN,B0CYLM4L23,"Dermaglos Moisturizing Body Lotion for Dry Skin with Extra Vitamin A, Vitamin E & Allantoin | Regenerating Lightweight Moisturizer for Stretch Marks, Tattoos Aftercare, Scars & Wrinkles | 13.52 Fl Oz",846,3,22.49%,9.09%,"1,115",4,22.47%,9.30%,98.48%,100.00%,66,6,7.80%,200.00%,"$1,246.74",$113.34,61,6
B0FDX9XR56,B0F4KXZVNM,"Dermaglos 2-pack Moisturizing Cream | Vitamin A (Retinoids), Vitamin E & Allantoin | Moisturizer for Wrinkles, Stretch Mark Prevention, Tattoo Aftercare, Scar cream, Anti-Aging | 1,76 oz",268,5,7.13%,15.15%,341,6,6.87%,13.95%,99.37%,100.00%,47,2,17.54%,40.00%,$798.53,$33.98,44,2
B0FG84HMRN,B0F548KTXD,"Dermaglos 2-pack Moisturizing Body Lotion for Dry Skin with Extra Vitamin A, Vitamin E & Allantoin | Hydrating & Regenerating formula for Stretch Marks, Tattoos, Scars & Wrinkles | 13.52 Fl Oz.",182,3,4.84%,9.09%,257,3,5.18%,6.98%,99.14%,100.00%,33,3,18.13%,100.00%,"$1,059.63",$96.33,31,3
B0CY2XC91Z,B0CY2XC91Z,"Dermaglos Micellar Water for All Skin Types Even Sensitive | All In 1 Hydrating Facial Cleanser & Makeup Remover, Brightening, Soothing, Gentle Face Toner | Alcohol-Free Formula | 13.52 Fl Oz",318,5,8.46%,15.15%,404,6,8.14%,13.95%,100.00%,100.00%,31,0,9.75%,0.00%,$284.70,$0.00,30,0
B0CYLDSQ5L,B0CYLDSQ5L,"Dermaglos Moisturizing Body Cream | Hydration + Rapid Absorption, 24Hour Duration | Daily moisturizer For all Skin Types Even Sensitive | With Vitamin A, Vitamin E, Allantoin, Glycerin | 10.58 Oz",437,1,11.62%,3.03%,547,1,11.02%,2.33%,99.20%,100.00%,32,0,7.32%,0.00%,$431.68,$0.00,27,0
B0CYKDSDJX,B0CYKDSDJX,"Dermaglos Hyaluronic Acid Serum For Face with Pro Vitamin B5 and Glycerin, Hydrates, Firms, Tones, and Reduces Expression Lines, Suitable for Sensitive Skin, 1 Fl Oz",176,2,4.68%,6.06%,234,6,4.71%,13.95%,97.76%,100.00%,13,0,7.39%,0.00%,$245.57,$0.00,11,0
B0CYK4G2Y8,B0CYK4G2Y8,"Dermaglos Facial Cleanser, For Combination to Oily Skin | Provitamin B5, Allantoin, Glycerin | Daily Face Wash, Deep Cleansing Gel, Impurity & Excess Oil Removal | Acne Cleanser | 5.29 Oz",194,3,5.16%,9.09%,254,4,5.12%,9.30%,91.91%,100.00%,9,0,4.64%,0.00%,$89.01,$0.00,9,0
B0CYL1RLNQ,B0CYL1RLNQ,"Dermaglos Ultra Volume Anti-Aging Night Cream with Hyaluronic Acid, Collagen and Niacinamide, Hydrating and Firming Face Moisturizer, Improves the Appearance of Wrinkles & Skin Volume, 1.76 Oz",112,2,2.98%,6.06%,222,3,4.47%,6.98%,99.52%,0.00%,7,0,6.25%,0.00%,$138.53,$0.00,6,0
B0F6VZMF2V,B0F6VZMF2V,"Dermaglos 3-pack Facial Skincare Set | Micellar Water 13,52floz + Hyaluronic Acid Serum 1floz + Ultra Volume Night Cream Moisturizes And Improves The Appearance Of Wrinkles",62,1,1.65%,3.03%,79,1,1.59%,2.33%,100.00%,100.00%,6,0,9.68%,0.00%,$197.40,$0.00,6,0
B0FDX9XR56,B0FDX9XR56,"Dermaglos Moisturizing Cream | Vitamin A (Retinoids), Vitamin E & Allantoin | Rich Moisturizer for Wrinkles, Stretch Mark Prevention, Tattoo Aftercare, Scar cream, Hydration for Smooth Skin | 1,76 oz",2,0,0.05%,0.00%,3,0,0.06%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0FG84HMRN,B0FG84HMRN,Dermaglós Moisturizing Body Lotion,2,0,0.05%,0.00%,2,0,0.04%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
