(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0FDX9XR56,B0CYLMJJJC,"Dermaglos Moisturizing Cream | Vitamin A (Retinoids), Vitamin E & Allantoin | Rich Moisturizer for Wrinkles, Stretch Mark Prevention, Tattoo Aftercare, Scar cream, Hydration for Smooth Skin | 1,76 oz","1,211",9,31.11%,25.71%,"1,574",10,30.64%,22.22%,98.90%,80.00%,141,2,11.64%,22.22%,"$1,408.59",$19.98,136,2
B0FG84HMRN,B0CYLM4L23,"Dermaglos Moisturizing Body Lotion for Dry Skin with Extra Vitamin A, Vitamin E & Allantoin | Regenerating Lightweight Moisturizer for Stretch Marks, Tattoos Aftercare, Scars & Wrinkles | 13.52 Fl Oz",882,3,22.66%,8.57%,"1,159",4,22.56%,8.89%,98.35%,100.00%,66,6,7.48%,200.00%,"$1,246.74",$113.34,61,6
B0FDX9XR56,B0F4KXZVNM,"Dermaglos 2-pack Moisturizing Cream | Vitamin A (Retinoids), Vitamin E & Allantoin | Moisturizer for Wrinkles, Stretch Mark Prevention, Tattoo Aftercare, Scar cream, Anti-Aging | 1,76 oz",273,5,7.01%,14.29%,346,6,6.74%,13.33%,99.38%,100.00%,47,2,17.22%,40.00%,$798.53,$33.98,44,2
B0FG84HMRN,B0F548KTXD,"Dermaglos 2-pack Moisturizing Body Lotion for Dry Skin with Extra Vitamin A, Vitamin E & Allantoin | Hydrating & Regenerating formula for Stretch Marks, Tattoos, Scars & Wrinkles | 13.52 Fl Oz.",185,3,4.75%,8.57%,260,3,5.06%,6.67%,99.15%,100.00%,33,3,17.84%,100.00%,"$1,059.63",$96.33,31,3
B0CY2XC91Z,B0CY2XC91Z,"Dermaglos Micellar Water for All Skin Types Even Sensitive | All In 1 Hydrating Facial Cleanser & Makeup Remover, Brightening, Soothing, Gentle Face Toner | Alcohol-Free Formula | 13.52 Fl Oz",321,6,8.25%,17.14%,407,7,7.92%,15.56%,100.00%,100.00%,31,0,9.66%,0.00%,$284.70,$0.00,30,0
B0CYLDSQ5L,B0CYLDSQ5L,"Dermaglos Moisturizing Body Cream | Hydration + Rapid Absorption, 24Hour Duration | Daily moisturizer For all Skin Types Even Sensitive | With Vitamin A, Vitamin E, Allantoin, Glycerin | 10.58 Oz",453,1,11.64%,2.86%,574,1,11.17%,2.22%,99.04%,100.00%,32,0,7.06%,0.00%,$431.68,$0.00,27,0
B0CYKDSDJX,B0CYKDSDJX,"Dermaglos Hyaluronic Acid Serum For Face with Pro Vitamin B5 and Glycerin, Hydrates, Firms, Tones, and Reduces Expression Lines, Suitable for Sensitive Skin, 1 Fl Oz",182,2,4.68%,5.71%,241,6,4.69%,13.33%,97.83%,100.00%,13,0,7.14%,0.00%,$245.57,$0.00,11,0
B0CYK4G2Y8,B0CYK4G2Y8,"Dermaglos Facial Cleanser, For Combination to Oily Skin | Provitamin B5, Allantoin, Glycerin | Daily Face Wash, Deep Cleansing Gel, Impurity & Excess Oil Removal | Acne Cleanser | 5.29 Oz",200,3,5.14%,8.57%,260,4,5.06%,8.89%,92.12%,100.00%,9,0,4.50%,0.00%,$89.01,$0.00,9,0
B0CYL1RLNQ,B0CYL1RLNQ,"Dermaglos Ultra Volume Anti-Aging Night Cream with Hyaluronic Acid, Collagen and Niacinamide, Hydrating and Firming Face Moisturizer, Improves the Appearance of Wrinkles & Skin Volume, 1.76 Oz",119,2,3.06%,5.71%,231,3,4.50%,6.67%,99.09%,0.00%,7,0,5.88%,0.00%,$138.53,$0.00,6,0
B0F6VZMF2V,B0F6VZMF2V,"Dermaglos 3-pack Facial Skincare Set | Micellar Water 13,52floz + Hyaluronic Acid Serum 1floz + Ultra Volume Night Cream Moisturizes And Improves The Appearance Of Wrinkles",63,1,1.62%,2.86%,80,1,1.56%,2.22%,100.00%,100.00%,6,0,9.52%,0.00%,$197.40,$0.00,6,0
B0FDX9XR56,B0FDX9XR56,"Dermaglos Moisturizing Cream | Vitamin A (Retinoids), Vitamin E & Allantoin | Rich Moisturizer for Wrinkles, Stretch Mark Prevention, Tattoo Aftercare, Scar cream, Hydration for Smooth Skin | 1,76 oz",2,0,0.05%,0.00%,3,0,0.06%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0FG84HMRN,B0FG84HMRN,Dermaglós Moisturizing Body Lotion,2,0,0.05%,0.00%,2,0,0.04%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
